appid,cluster,year,weight
255710,1,2023,1
270880,1,2023,1
271590,2,2023,4
275850,2,2023,1
281990,1,2023,2
284160,3,2023,1
289070,1,2023,1
294100,1,2023,1
306130,4,2023,2
311210,0,2023,1
359550,0,2023,4
381210,2,2023,4
394360,0,2023,1
413150,1,2023,1
431960,3,2023,1
489830,4,2023,1
518790,2,2023,1
534380,2,2023,1
548430,0,2023,1
552990,0,2023,2
578080,0,2023,7
582010,4,2023,1
582660,0,2023,2
594650,0,2023,1
648800,0,2023,1
668580,2,2023,1
671860,0,2023,2
739630,2,2023,1
814380,4,2023,1
916440,1,2023,1
949230,1,2023,2
962130,0,2023,1
990080,4,2023,7
1063730,0,2023,2
1085660,0,2023,7
1086940,4,2023,7
1091500,2,2023,7
1142710,0,2023,2
1144200,2,2023,2
1151340,0,2023,1
1158310,1,2023,2
1172470,0,2023,7
1172620,0,2023,2
1174180,2,2023,4
1203220,4,2023,4
1222670,1,2023,2
1245620,4,2023,4
1248130,1,2023,1
1250410,2,2023,1
1260320,3,2023,2
1272080,0,2023,1
1282100,0,2023,2
1304930,2,2023,1
1326470,2,2023,7
1361210,0,2023,1
1364780,3,2023,2
1426210,0,2023,1
1446780,4,2023,1
1449850,4,2023,2
1466860,1,2023,1
1517290,0,2023,1
1551360,3,2023,2
1562430,2,2023,1
1593500,4,2023,1
1599340,4,2023,4
1627720,4,2023,1
1669000,4,2023,1
1687950,4,2023,1
1693980,2,2023,2
1716740,2,2023,7
1774580,2,2023,2
1811260,3,2023,4
1817070,2,2023,1
1817190,2,2023,1
1868140,1,2023,1
1888160,0,2023,2
1888930,2,2023,1
1919590,3,2023,1
1938090,0,2023,7
1966720,2,2023,4
1971870,0,2023,1
2050650,2,2023,4
2073850,0,2023,1
2108330,3,2023,1
2167580,4,2023,1
2195250,3,2023,7
2252570,3,2023,1
2399830,0,2023,2
440,0,2024,1
570,0,2024,7
730,0,2024,7
39210,2,2024,2
108600,3,2024,1
221100,3,2024,1
227300,1,2024,1
230410,3,2024,4
236390,0,2024,4
238960,2,2024,1
252490,3,2024,2
270880,1,2024,1
271590,3,2024,4
275850,3,2024,1
281990,1,2024,1
289070,1,2024,1
294100,1,2024,1
306130,2,2024,2
311210,3,2024,1
359550,0,2024,2
377160,3,2024,1
381210,3,2024,4
394360,1,2024,1
413150,1,2024,2
427520,1,2024,1
431960,2,2024,1
526870,1,2024,1
552990,0,2024,1
553850,3,2024,7
578080,0,2024,7
582010,3,2024,1
582660,2,2024,1
594650,3,2024,1
739630,3,2024,1
814380,2,2024,1
881020,2,2024,2
899770,2,2024,2
990080,2,2024,2
1085660,0,2024,4
1086940,2,2024,7
1091500,3,2024,4
1142710,2,2024,1
1144200,3,2024,2
1145350,2,2024,1
1151340,3,2024,2
1158310,1,2024,1
1172470,0,2024,7
1172620,3,2024,2
1174180,3,2024,2
1203220,0,2024,4
1203620,3,2024,4
1222670,1,2024,2
1245620,2,2024,7
1293830,0,2024,1
1326470,3,2024,1
1363080,1,2024,2
1364780,0,2024,1
1426210,0,2024,1
1449850,2,2024,2
1551360,3,2024,2
1599340,2,2024,2
1623730,3,2024,7
1643320,3,2024,2
1778820,0,2024,2
1790600,0,2024,4
1845910,2,2024,1
1938090,3,2024,7
1966720,3,2024,2
2050650,3,2024,1
2054970,2,2024,2
2073850,0,2024,1
2074920,3,2024,4
2124490,3,2024,1
2139460,3,2024,2
2161700,2,2024,1
2183900,3,2024,7
2195250,0,2024,2
2215430,3,2024,2
2246340,3,2024,1
2300320,1,2024,1
2322010,2,2024,1
2344520,2,2024,2
2357570,0,2024,1
2358720,2,2024,7
2379780,2,2024,1
2399830,3,2024,1
2406770,3,2024,1
2420110,3,2024,1
2429640,0,2024,4
2479810,0,2024,1
2567870,3,2024,1
2669320,0,2024,7
2670630,1,2024,1
2679460,2,2024,1
2694490,2,2024,4
2767030,0,2024,1
2878980,0,2024,2
3070070,1,2024,1
3097560,0,2024,1
440,1,2025,1
570,1,2025,7
730,1,2025,7
39210,2,2025,1
227300,0,2025,2
230410,3,2025,4
236390,1,2025,2
252490,3,2025,2
275850,3,2025,1
281990,0,2025,1
294100,0,2025,1
306130,2,2025,1
359550,1,2025,2
381210,3,2025,4
394360,0,2025,1
413150,0,2025,1
431960,2,2025,1
552990,1,2025,1
553850,3,2025,4
578080,1,2025,7
582660,2,2025,1
632360,1,2025,1
739630,3,2025,1
990080,2,2025,1
1030300,2,2025,2
1085660,3,2025,2
1086940,2,2025,4
1091500,2,2025,4
1142710,1,2025,1
1144200,3,2025,2
1145350,2,2025,1
1151340,3,2025,1
1158310,0,2025,1
1172470,1,2025,7
1172710,3,2025,2
1174180,3,2025,4
1203220,1,2025,1
1222670,0,2025,2
1245620,2,2025,2
1285190,3,2025,4
1295660,0,2025,2
1326470,3,2025,1
1364780,1,2025,1
1374490,3,2025,1
1426210,1,2025,1
1449850,1,2025,1
1551360,3,2025,2
1599340,2,2025,1
1623730,3,2025,1
1671210,2,2025,1
1771300,2,2025,7
1808500,3,2025,7
1874880,3,2025,1
1903340,2,2025,4
1938090,3,2025,7
1973530,2,2025,1
1984270,2,2025,1
2001120,3,2025,4
2074920,3,2025,1
2138720,1,2025,1
2139460,3,2025,2
2183900,3,2025,2
2215430,3,2025,1
2246340,3,2025,7
2300320,0,2025,1
2344520,2,2025,1
2357570,1,2025,1
2358720,2,2025,1
2384580,2,2025,1
2399830,3,2025,1
2429640,1,2025,2
2456740,0,2025,2
2507950,1,2025,2
2592160,2,2025,2
2622380,2,2025,4
2623190,2,2025,4
2651280,2,2025,1
2669320,1,2025,2
2694490,2,2025,2
2767030,1,2025,7
2807960,1,2025,7
2878980,1,2025,2
2993780,2,2025,1
3008130,3,2025,1
3017860,3,2025,1
3059520,1,2025,1
3159330,2,2025,2
3164500,3,2025,7
3224770,2,2025,1
3240220,3,2025,2
3241660,3,2025,7
3274580,0,2025,1
3405690,1,2025,4
3450310,0,2025,1
3472040,1,2025,1
3489700,2,2025,2
3513350,2,2025,1
3527290,3,2025,2
3564740,2,2025,2
3949040,3,2025,1
